"Icon","Title","Description","How to Obtain","Defensive Stats","Skills","Forging Materials","Unlock Requirements","Alternative Appearance","Armor Set","Rarity","Price","Slot Level 1","Slot Level 2","Slot Level 3","Skill Details"
"","Ajarakan Coil","Ajarakan waistgear. It acts as a tether to quell the wearer’s…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Fortifying Pelt Group Skills Bombardier Equipment Skills Blast Resistance Equipment Skills","2× Ajarakan Shell Equipment Materials 1× Ajarakan Ridge Equipment Materials","Ajarakan Large Monsters","","Ajarakan Large Monsters","Rarity 3","500 z","","","","Fortifying Pelt Lv1;Bombardier Lv1;Blast Resistance Lv1"
"","Ajarakan Coil α","Ajarakan waistgear. It acts as a tether to quell the wearer’s…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Fortifying Pelt Group Skills Partbreaker Equipment Skills Blast Resistance Equipment Skills","2× Ajarakan Certificate S Equipment Materials 2× Ajarakan Ridge+ Equipment Materials 2× Ajarakan Tail Equipment Materials 1× Ajarakan Marrow Equipment Materials","Ajarakan Scale+ Equipment Materials","","Ajarakan α Armor Sets","Rarity 6","5,000 z","1 "" /> 1","","","Fortifying Pelt Lv1;Partbreaker Lv2;Blast Resistance Lv2"
"","Ajarakan Coil β","Ajarakan waistgear. It acts as a tether to quell the wearer’s…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Alluring Pelt Group Skills Partbreaker Equipment Skills Blast Resistance Equipment Skills","2× Ajarakan Certificate S Equipment Materials 2× Ajarakan Ridge+ Equipment Materials 2× Ajarakan Tail Equipment Materials 1× Ajarakan Marrow Equipment Materials","Ajarakan Scale+ Equipment Materials","","Ajarakan β Armor Sets","Rarity 6","5,000 z","2 "" /> 2","","","Alluring Pelt Lv1;Partbreaker Lv2;Blast Resistance Lv1"
"","Ajarakan Greaves","Flame crested Ajarakan leg armor. A heat so fierce that each…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Fortifying Pelt Group Skills Partbreaker Equipment Skills Blast Resistance Equipment Skills","1× Ajarakan Jewel Equipment Materials 1× Ajarakan Ridge Equipment Materials 1× Ajarakan Tail Equipment Materials","Ajarakan Large Monsters","","Ajarakan Large Monsters","Rarity 3","500 z","","","","Fortifying Pelt Lv1;Partbreaker Lv1;Blast Resistance Lv1"
"","Ajarakan Greaves α","Flame crested Ajarakan leg armor. A heat so fierce that each…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Fortifying Pelt Group Skills Partbreaker Equipment Skills Resentment Equipment Skills","6× Ajarakan Scale+ Equipment Materials 6× Ajarakan Carapace Equipment Materials 4× Ajarakan Jewel+ Equipment Materials 3× Ajarakan Ridge+ Equipment Materials","Ajarakan Scale+ Equipment Materials","","Ajarakan α Armor Sets","Rarity 6","5,000 z","","","","Fortifying Pelt Lv1;Partbreaker Lv2;Resentment Lv1"
"","Ajarakan Greaves β","Flame crested Ajarakan leg armor. A heat so fierce that each…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Alluring Pelt Group Skills Partbreaker Equipment Skills","6× Ajarakan Scale+ Equipment Materials 6× Ajarakan Carapace Equipment Materials 4× Ajarakan Jewel+ Equipment Materials 3× Ajarakan Ridge+ Equipment Materials","Ajarakan Scale+ Equipment Materials","","Ajarakan β Armor Sets","Rarity 6","5,000 z","1 "" /> 1","1 "" /> 1","","Alluring Pelt Lv1;Partbreaker Lv2"
"","Ajarakan Helm","Imposing Ajarakan head armor. Donning it will draw the fires…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Fortifying Pelt Group Skills Partbreaker Equipment Skills Bombardier Equipment Skills","1× Ajarakan Certificate Equipment Materials 1× Ajarakan Tail Equipment Materials 1× Ajarakan Jewel Equipment Materials 1× Ajarakan Marrow Equipment Materials","Ajarakan Large Monsters","","Ajarakan Large Monsters","Rarity 3","500 z","","","","Fortifying Pelt Lv1;Partbreaker Lv1;Bombardier Lv1"
"","Ajarakan Helm α","Imposing Ajarakan head armor. Donning it will draw the fires…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Fortifying Pelt Group Skills Resentment Equipment Skills Bombardier Equipment Skills","1× Ajarakan Certificate S Equipment Materials 5× Ajarakan Carapace Equipment Materials 4× Ajarakan Ridge+ Equipment Materials 2× Charred Oilbone Equipment Materials","Ajarakan Scale+ Equipment Materials","","Ajarakan α Armor Sets","Rarity 6","5,000 z","1 "" /> 1","","","Fortifying Pelt Lv1;Resentment Lv2;Bombardier Lv1"
"","Ajarakan Helm β","Imposing Ajarakan head armor. Donning it will draw the fires…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Alluring Pelt Group Skills Resentment Equipment Skills Bombardier Equipment Skills","1× Ajarakan Certificate S Equipment Materials 5× Ajarakan Carapace Equipment Materials 4× Ajarakan Ridge+ Equipment Materials 2× Charred Oilbone Equipment Materials","Ajarakan Scale+ Equipment Materials","","Ajarakan β Armor Sets","Rarity 6","5,000 z","2 "" /> 2","1 "" /> 1","","Alluring Pelt Lv1;Resentment Lv1;Bombardier Lv1"
"","Ajarakan Mail","Ajarakan chest armor. The heat of its flames warns prey of their…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Fortifying Pelt Group Skills Partbreaker Equipment Skills","2× Ajarakan Scale Equipment Materials 1× Ajarakan Jewel Equipment Materials","Ajarakan Large Monsters","","Ajarakan Large Monsters","Rarity 3","500 z","","","","Fortifying Pelt Lv1;Partbreaker Lv1"
