"Title","ArmorSet","Rarity","Price","Skills","Slot1","Slot2","Slot3","DefensiveStats","ForgingMaterials","UnlockRequirements"
"Ajarakan Coil","Ajarakan Large Monsters","Rarity 3","500 z","Fortifying Pelt Bombardier Blast Resistance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Ajarakan Shell 1× Ajarakan Ridge","Ajarakan"
"Ajarakan Coil α","Ajarakan α Armor Sets","Rarity 6","5,000 z","Fortifying Pelt Partbreaker Blast Resistance","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Ajarakan Certificate S 2× Ajarakan Ridge+ 2× Ajarakan Tail 1× Ajarakan Marrow","Ajarakan Scale+"
"Ajarakan Coil β","Ajarakan β Armor Sets","Rarity 6","5,000 z","Alluring Pelt Partbreaker Blast Resistance","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Ajarakan Certificate S 2× Ajarakan Ridge+ 2× Ajarakan Tail 1× Ajarakan Marrow","Ajarakan Scale+"
"Ajarakan Greaves","Ajarakan Large Monsters","Rarity 3","500 z","Fortifying Pelt Partbreaker Blast Resistance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Ajarakan Jewel 1× Ajarakan Ridge 1× Ajarakan Tail","Ajarakan"
"Ajarakan Greaves α","Ajarakan α Armor Sets","Rarity 6","5,000 z","Fortifying Pelt Partbreaker Resentment","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","6× Ajarakan Scale+ 6× Ajarakan Carapace 4× Ajarakan Jewel+ 3× Ajarakan Ridge+","Ajarakan Scale+"
"Ajarakan Greaves β","Ajarakan β Armor Sets","Rarity 6","5,000 z","Alluring Pelt Partbreaker","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","6× Ajarakan Scale+ 6× Ajarakan Carapace 4× Ajarakan Jewel+ 3× Ajarakan Ridge+","Ajarakan Scale+"
"Ajarakan Helm","Ajarakan Large Monsters","Rarity 3","500 z","Fortifying Pelt Partbreaker Bombardier","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Ajarakan Certificate 1× Ajarakan Tail 1× Ajarakan Jewel 1× Ajarakan Marrow","Ajarakan"
"Ajarakan Helm α","Ajarakan α Armor Sets","Rarity 6","5,000 z","Fortifying Pelt Resentment Bombardier","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Ajarakan Certificate S 5× Ajarakan Carapace 4× Ajarakan Ridge+ 2× Charred Oilbone","Ajarakan Scale+"
"Ajarakan Helm β","Ajarakan β Armor Sets","Rarity 6","5,000 z","Alluring Pelt Resentment Bombardier","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Ajarakan Certificate S 5× Ajarakan Carapace 4× Ajarakan Ridge+ 2× Charred Oilbone","Ajarakan Scale+"
"Ajarakan Mail","Ajarakan Large Monsters","Rarity 3","500 z","Fortifying Pelt Partbreaker","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Ajarakan Scale 1× Ajarakan Jewel","Ajarakan"
"Ajarakan Mail α","Ajarakan α Armor Sets","Rarity 6","5,000 z","Fortifying Pelt Resentment Blast Resistance","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","5× Ajarakan Scale+ 3× Ajarakan Jewel+ 3× Great Stoutbone","Ajarakan Scale+"
"Ajarakan Mail β","Ajarakan β Armor Sets","Rarity 6","5,000 z","Alluring Pelt Resentment","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","5× Ajarakan Scale+ 3× Ajarakan Jewel+ 3× Great Stoutbone","Ajarakan Scale+"
"","","","","","","","","","",""
"Ajarakan Vambraces","Ajarakan Large Monsters","Rarity 3","500 z","Fortifying Pelt Bombardier Cliffhanger","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Ajarakan Scale 2× Ajarakan Shell 1× Ajarakan Ridge","Ajarakan"
"Ajarakan Vambraces α","Ajarakan α Armor Sets","Rarity 6","5,000 z","Fortifying Pelt Partbreaker Bombardier","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Ajarakan Certificate S 2× Ajarakan Jewel+ 3× Ajarakan Scale+ 1× Ajarakan Medulla","Ajarakan Scale+"
"Ajarakan Vambraces β","Ajarakan β Armor Sets","Rarity 6","5,000 z","Alluring Pelt Partbreaker Bombardier","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Ajarakan Certificate S 2× Ajarakan Jewel+ 3× Ajarakan Scale+ 1× Ajarakan Medulla","Ajarakan Scale+"
"Alloy Coil","Alloy Armor Sets","Rarity 1","200 z","Tremor Resistance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Machalite Ore 1× Earth Crystal","To the Forest Main Missions"
"Alloy Coil α","Alloy α Armor Sets","Rarity 5","2,500 z","Tremor Resistance Quick Sheathe","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Carbalite Ore 2× Dragonite Ore","Lured by Abundance Assignments"
"Alloy Greaves","Alloy Armor Sets","Rarity 1","200 z","Quick Sheathe","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Machalite Ore 1× Earth Crystal","To the Forest Main Missions"
"Alloy Greaves α","Alloy α Armor Sets","Rarity 5","2,500 z","Quick Sheathe Flinch Free","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Carbalite Ore 2× Dragonite Ore","Lured by Abundance Assignments"
"Alloy Helm","Alloy Armor Sets","Rarity 1","200 z","Quick Sheathe","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Machalite Ore 1× Iron Ore","To the Forest Main Missions"
"Alloy Helm α","Alloy α Armor Sets","Rarity 5","2,500 z","Quick Sheathe","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Carbalite Ore 3× Dragonite Ore","Lured by Abundance Assignments"
"Alloy Mail","Alloy Armor Sets","Rarity 1","200 z","Tremor Resistance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Machalite Ore 1× Iron Ore","To the Forest Main Missions"
"Alloy Mail α","Alloy α Armor Sets","Rarity 5","2,500 z","Flinch Free","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Carbalite Ore 2× Dragonite Ore","Lured by Abundance Assignments"
"Alloy Vambraces","Alloy Armor Sets","Rarity 1","200 z","Tremor Resistance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Machalite Ore 1× Iron Ore","To the Forest Main Missions"
"","","","","","","","","","",""
"Alloy Vambraces α","Alloy α Armor Sets","Rarity 5","2,500 z","Tremor Resistance","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Carbalite Ore 3× Dragonite Ore","Lured by Abundance Assignments"
"Arkvulcan Coil α","Arkveld α Armor Sets","Rarity 8","10,000 z","Arkveld's Hunger Fortifying Pelt Weakness Exploit Recovery Speed","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Arkveld Certificate S 3× Arkveld Armorplate 3× White Arkveld Pelt 1× Arkveld Gem","Arkveld"
"Arkvulcan Coil β","Arkveld β Armor Sets","Rarity 8","10,000 z","Arkveld's Hunger Alluring Pelt Weakness Exploit Recovery Speed","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Arkveld Certificate S 3× Arkveld Armorplate 3× White Arkveld Pelt 1× Arkveld Gem","Arkveld"
"Arkvulcan Greaves α","Arkveld α Armor Sets","Rarity 8","10,000 z","Arkveld's Hunger Fortifying Pelt Convert Element Quick Sheathe","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","6× Arkveld Scale+ 5× Arkveld Armorplate 2× Arkveld Calloushell 2× Arkveld Tail","Arkveld"
"Arkvulcan Greaves β","Arkveld β Armor Sets","Rarity 8","10,000 z","Arkveld's Hunger Alluring Pelt Convert Element Quick Sheathe","3","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","6× Arkveld Scale+ 5× Arkveld Armorplate 2× Arkveld Calloushell 2× Arkveld Tail","Arkveld"
"Arkvulcan Helm α","Arkveld α Armor Sets","Rarity 8","10,000 z","Arkveld's Hunger Fortifying Pelt Convert Element Elemental Absorption","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","5× Arkveld Scale+ 3× Arkveld Armorplate 2× White Arkveld Pelt 3× Arkveld Horn+","Arkveld"
"Arkvulcan Helm β","Arkveld β Armor Sets","Rarity 8","10,000 z","Arkveld's Hunger Alluring Pelt Convert Element","3","2","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","5× Arkveld Scale+ 3× Arkveld Armorplate 2× White Arkveld Pelt 3× Arkveld Horn+","Arkveld"
"Arkvulcan Mail α","Arkveld α Armor Sets","Rarity 8","10,000 z","Arkveld's Hunger Fortifying Pelt Weakness Exploit Elemental Absorption","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Arkveld Certificate S 3× Arkveld Scale+ 4× Arkveld Armorplate 4× Arkveld Calloushell","Arkveld"
"Arkvulcan Mail β","Arkveld β Armor Sets","Rarity 8","10,000 z","Arkveld's Hunger Alluring Pelt Weakness Exploit","3","2","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Arkveld Certificate S 3× Arkveld Scale+ 4× Arkveld Armorplate 4× Arkveld Calloushell","Arkveld"
