"Title","Skill","SlotLevel","Rarity","Price","Description"
"Furor Jewel [2]","Resentment","2","Rarity 4","200 z","A decoration that grants the Resentment skill."
"Counterattack Jewel [3]","Adrenaline Rush","3","Rarity 5","250 z","A decoration that grants the Adrenaline Rush skill."
"Flawless Jewel [2]","Peak Performance","2","Rarity 4","200 z","A decoration that grants the Peak Performance skill."
"Counter Jewel [2]","Counterstrike","2","Rarity 4","200 z","A decoration that grants the Counterstrike skill."
"Tenderizer Jewel [3]","Weakness Exploit","3","Rarity 5","250 z","A decoration that grants the Weakness Exploit skill."
"Mighty Jewel [2]","Maximum Might","2","Rarity 4","200 z","A decoration that grants the Maximum Might skill."
"Defense Jewel [1]","Defense Boost","1","Rarity 3","150 z","A decoration that grants the Defense Boost skill."
"Protection Jewel [1]","Divine Blessing","1","Rarity 3","150 z","A decoration that grants the Divine Blessing skill."
"Fire Res Jewel [1]","Fire Resistance","1","Rarity 3","150 z","A decoration that grants the Fire Resistance skill."
"Water Res Jewel [1]","Water Resistance","1","Rarity 3","150 z","A decoration that grants the Water Resistance skill."
"Thunder Res Jewel [1]","Thunder Resistance","1","Rarity 3","150 z","A decoration that grants the Thunder Resistance skill."
"Ice Res Jewel [1]","Ice Resistance","1","Rarity 3","150 z","A decoration that grants the Ice Resistance skill."
"","","","","",""
"Dragon Res Jewel [1]","Dragon Resistance","1","Rarity 3","150 z","A decoration that grants the Dragon Resistance skill."
"Antidote Jewel [1]","Poison Resistance","1","Rarity 3","150 z","A decoration that grants the Poison Resistance skill."
"Antipara Jewel [1]","Paralysis Resistance","1","Rarity 3","150 z","A decoration that grants the Paralysis Resistance skill."
"Pep Jewel [1]","Sleep Resistance","1","Rarity 3","150 z","A decoration that grants the Sleep Resistance skill."
"Def Lock Jewel [1]","Iron Skin","1","Rarity 3","150 z","A decoration that grants the Iron Skin skill."
"Steadfast Jewel [1]","Stun Resistance","1","Rarity 3","150 z","A decoration that grants the Stun Resistance skill."
"Suture Jewel [1]","Bleeding Resistance","1","Rarity 3","150 z","A decoration that grants the Bleeding Resistance skill."
"Escape Jewel [1]","Bind Resistance","1","Rarity 3","150 z","A decoration that grants the Bind Resistance skill."
"Antiblast Jewel [1]","Blast Resistance","1","Rarity 3","150 z","A decoration that grants the Blast Resistance skill."
"Perfume Jewel [1]","Stench Resistance","1","Rarity 3","150 z","A decoration that grants the Stench Resistance skill."
"Adapt Jewel [1]","Adaptability","1","Rarity 3","150 z","A decoration that grants the Adaptability skill."
"Medicine Jewel [1]","Recovery Up","1","Rarity 3","150 z","A decoration that grants the Recovery Up skill."
"","","","","",""
"Recovery Jewel [1]","Recovery Speed","1","Rarity 3","150 z","A decoration that grants the Recovery Speed skill."
"Survival Jewel [1]","Survival Expert","1","Rarity 3","150 z","A decoration that grants the Survival Expert skill."
"Physique Jewel [1]","Constitution","1","Rarity 3","150 z","A decoration that grants the Constitution skill."
"Refresh Jewel [2]","Stamina Surge","2","Rarity 4","200 z","A decoration that grants the Stamina Surge skill."
"Sprinter Jewel [1]","Marathon Runner","1","Rarity 3","150 z","A decoration that grants the Marathon Runner skill."
"Hungerless Jewel [1]","Hunger Resistance","1","Rarity 3","150 z","A decoration that grants the Hunger Resistance skill."
"Challenger Jewel [3]","Agitator","3","Rarity 5","250 z","A decoration that grants the Agitator skill."
"Throttle Jewel [3]","Latent Power","3","Rarity 5","250 z","A decoration that grants the Latent Power skill."
"Potential Jewel [2]","Heroics","2","Rarity 4","200 z","A decoration that grants the Heroics skill."
"Chain Jewel [3]","Burst","3","Rarity 5","250 z","A decoration that grants the Burst skill."
"Foray Jewel [3]","Foray","3","Rarity 5","250 z","A decoration that grants the Foray skill."
"Flayer Jewel [3]","Flayer","3","Rarity 5","250 z","A decoration that grants the Flayer skill."
"","","","","",""
"Destroyer Jewel [2]","Partbreaker","2","Rarity 4","200 z","A decoration that grants the Partbreaker skill."
"Phoenix Jewel [2]","Coalescence","2","Rarity 7","350 z","A decoration that grants the Coalescence skill."
"Ambush Jewel [2]","Ambush","2","Rarity 4","200 z","A decoration that grants the Ambush skill."
"Sane Jewel [1]","Antivirus","1","Rarity 5","250 z","A decoration that grants the Antivirus skill."
"Growth Jewel [1]","Self-Improvement","1","Rarity 3","150 z","A decoration that grants the Self-Improvement skill."
"Evasion Jewel [2]","Evade Window","2","Rarity 4","200 z","A decoration that grants the Evade Window skill."
"Jumping Jewel [2]","Evade Extender","2","Rarity 4","200 z","A decoration that grants the Evade Extender skill."
"Earplugs Jewel [2]","Earplugs","2","Rarity 4","200 z","A decoration that grants the Earplugs skill."
"Sheath Jewel [1]","Quick Sheathe","1","Rarity 3","150 z","A decoration that grants the Quick Sheathe skill."
"Wind Resist Jewel [1]","Windproof","1","Rarity 3","150 z","A decoration that grants the Windproof skill."
"Footing Jewel [1]","Tremor Resistance","1","Rarity 3","150 z","A decoration that grants the Tremor Resistance skill."
"Brace Jewel [1]","Flinch Free","1","Rarity 3","150 z","A decoration that grants the Flinch Free skill."
"","","","","",""
"Intimidator Jewel [1]","Intimidator","1","Rarity 3","150 z","A decoration that grants the Intimidator skill."
"Gobbler Jewel [1]","Speed Eating","1","Rarity 3","150 z","A decoration that grants the Speed Eating skill."
"Mirewalker Jewel [1]","Aquatic/Oilsilt Mobility","1","Rarity 3","150 z","A decoration that grants the Aquatic/Oilsilt Mobility skill.…"
"Shockproof Jewel [1]","Shock Absorber","1","Rarity 3","150 z","A decoration that grants the Shock Absorber skill."
"Dive Jewel [1]","Leap of Faith","1","Rarity 3","150 z","A decoration that grants the Leap of Faith skill."
"Leap Jewel [1]","Jump Master","1","Rarity 3","150 z","A decoration that grants the Jump Master skill."
