"Icon","Title","Description","Skills","Slot Level","Rarity","Price"
"","Attack Jewel [1]","A decoration that grants the Attack Boost skill.","Attack Boost Equipment Skills","1","Rarity 3","150 z"
"","Attack Jewel II [2]","A decoration that grants the Attack Boost skill.","Attack Boost Equipment Skills","2","Rarity 4","200 z"
"","Attack Jewel III [3]","A decoration that grants the Attack Boost skill.","Attack Boost Equipment Skills","3","Rarity 5","250 z"
"","Guardian Jewel [1]","A decoration that grants the Offensive Guard skill.","Offensive Guard Equipment Skills","1","Rarity 3","150 z"
"","Guardian Jewel II [2]","A decoration that grants the Offensive Guard skill.","Offensive Guard Equipment Skills","2","Rarity 4","200 z"
"","Guardian Jewel III [3]","A decoration that grants the Offensive Guard skill.","Offensive Guard Equipment Skills","3","Rarity 5","250 z"
"","Guardian/Blaze Jwl [3]","A decoration that grants the Offensive Guard and Fire Attack…","Offensive Guard Equipment Skills","3","Rarity 7","350 z"
"","Guardian/Stream Jwl [3]","A decoration that grants the Offensive Guard and Water Attack…","Offensive Guard Equipment Skills","3","Rarity 7","350 z"
"","Guardian/Frost Jwl [3]","A decoration that grants the Offensive Guard and Ice Attack skills.…","Offensive Guard Equipment Skills","3","Rarity 7","350 z"
"","Guardian/Bolt Jwl [3]","A decoration that grants the Offensive Guard and Thunder Attack…","Offensive Guard Equipment Skills","3","Rarity 7","350 z"
"","Guardian/Dragon Jwl [3]","A decoration that grants the Offensive Guard and Dragon Attack…","Offensive Guard Equipment Skills","3","Rarity 7","350 z"
"","Guardian/Handicraft Jwl [3]","A decoration that grants the Offensive Guard and Handicraft skills.…","Offensive Guard Equipment Skills","3","Rarity 7","350 z"
,,,,,,
"","Guardian/Ironwall Jwl [3]","A decoration that grants the Offensive Guard and Guard skills.…","Offensive Guard Equipment Skills","3","Rarity 7","350 z"
"","Expert Jewel [1]","A decoration that grants the Critical Eye skill.","Critical Eye Equipment Skills","1","Rarity 3","150 z"
"","Expert Jewel II [2]","A decoration that grants the Critical Eye skill.","Critical Eye Equipment Skills","2","Rarity 4","200 z"
"","Expert Jewel III [3]","A decoration that grants the Critical Eye skill.","Critical Eye Equipment Skills","3","Rarity 5","250 z"
"","Critical Jewel [1]","A decoration that grants the Critical Boost skill.","Critical Boost Equipment Skills","1","Rarity 3","150 z"
"","Critical Jewel II [2]","A decoration that grants the Critical Boost skill.","Critical Boost Equipment Skills","2","Rarity 4","200 z"
"","Critical Jewel III [3]","A decoration that grants the Critical Boost skill.","Critical Boost Equipment Skills","3","Rarity 5","250 z"
"","Draw Jewel [1]","A decoration that grants the Critical Draw skill.","Critical Draw Equipment Skills","1","Rarity 3","150 z"
"","Draw Jewel II [2]","A decoration that grants the Critical Draw skill.","Critical Draw Equipment Skills","2","Rarity 4","200 z"
"","Draw Jewel III [3]","A decoration that grants the Critical Draw skill.","Critical Draw Equipment Skills","3","Rarity 5","250 z"
"","Blaze Jewel [1]","A decoration that grants the Fire Attack skill.","Fire Attack Equipment Skills","1","Rarity 3","150 z"
"","Blaze Jewel II [2]","A decoration that grants the Fire Attack skill.","Fire Attack Equipment Skills","2","Rarity 4","200 z"
,,,,,,
"","Blaze Jewel III [3]","A decoration that grants the Fire Attack skill.","Fire Attack Equipment Skills","3","Rarity 5","250 z"
"","Blaze/Guardian Jewel [3]","A decoration that grants the Fire Attack and Offensive Guard…","Fire Attack Equipment Skills","3","Rarity 6","300 z"
"","Blaze/Crit Elem Jwl [3]","A decoration that grants the Fire Attack and Critical Element…","Fire Attack Equipment Skills","3","Rarity 6","300 z"
"","Blaze/Handicraft Jwl [3]","A decoration that grants the Fire Attack and Handicraft skills.…","Fire Attack Equipment Skills","3","Rarity 6","300 z"
"","Blaze/Rzr Sharp Jwl [3]","A decoration that grants the Fire Attack and Razor Sharp skills.…","Fire Attack Equipment Skills","3","Rarity 6","300 z"
"","Blaze/Precise Jewel [3]","A decoration that grants the Fire Attack and Ballistics skills.…","Fire Attack Equipment Skills","3","Rarity 6","300 z"
"","Blaze/Opener Jewel [3]","A decoration that grants the Fire Attack and Opening Shot skills.…","Fire Attack Equipment Skills","3","Rarity 6","300 z"
"","Blaze/Bandolier Jwl [3]","A decoration that grants the Fire Attack and Tetrad Shot skills.…","Fire Attack Equipment Skills","3","Rarity 6","300 z"
"","Blaze/Focus Jewel [3]","A decoration that grants the Fire Attack and Focus skills.","Fire Attack Equipment Skills","3","Rarity 6","300 z"
"","Blaze/Enhancer Jwl [3]","A decoration that grants the Fire Attack and Power Prolonger…","Fire Attack Equipment Skills","3","Rarity 6","300 z"
"","Blaze/KO Jewel [3]","A decoration that grants the Fire Attack and Slugger skills.…","Fire Attack Equipment Skills","3","Rarity 6","300 z"
"","Blaze/Quickswitch Jwl [3]","A decoration that grants the Fire Attack and Rapid Morph skills.…","Fire Attack Equipment Skills","3","Rarity 6","300 z"
,,,,,,
"","Blaze/Ironwall Jwl [3]","A decoration that grants the Fire Attack and Guard skills.","Fire Attack Equipment Skills","3","Rarity 6","300 z"
"","Blaze/Shield Jewel [3]","A decoration that grants the Fire Attack and Guard Up skills.…","Fire Attack Equipment Skills","3","Rarity 6","300 z"
"","Stream Jewel [1]","A decoration that grants the Water Attack skill.","Water Attack Equipment Skills","1","Rarity 3","150 z"
"","Stream Jewel II [2]","A decoration that grants the Water Attack skill.","Water Attack Equipment Skills","2","Rarity 4","200 z"
"","Stream Jewel III [3]","A decoration that grants the Water Attack skill.","Water Attack Equipment Skills","3","Rarity 5","250 z"
"","Stream/Guardian Jwl [3]","A decoration that grants the Water Attack and Offensive Guard…","Water Attack Equipment Skills","3","Rarity 6","300 z"
"","Stream/Crit Elem Jwl [3]","A decoration that grants the Water Attack and Critical Element…","Water Attack Equipment Skills","3","Rarity 6","300 z"
"","Stream/Handicraft Jwl [3]","A decoration that grants the Water Attack and Handicraft skills.…","Water Attack Equipment Skills","3","Rarity 6","300 z"
"","Stream/Rzr Sharp Jwl [3]","A decoration that grants the Water Attack and Razor Sharp skills.…","Water Attack Equipment Skills","3","Rarity 6","300 z"
"","Stream/Precise Jewel [3]","A decoration that grants the Water Attack and Ballistics skills.…","Water Attack Equipment Skills","3","Rarity 6","300 z"
"","Stream/Opener Jwl [3]","A decoration that grants the Water Attack and Opening Shot skills.…","Water Attack Equipment Skills","3","Rarity 6","300 z"
