"Icon","Title","Description","Crafting Recipe","Where to Find","Other Info","Rewarded From","Used to Craft","Unlocks","Food Bonus","Food Skill","Rarity","Carry Max","Sell Price","Buy Price"
"","Ajarakan Scale+","A high-quality scale from an Ajarakan. The flame-like spikes…","","","","","Ajarakan Greaves α Legs Ajarakan Greaves β Legs Ajarakan Mail α Chest Ajarakan Mail β Chest Ajarakan Vambraces α Arms Ajarakan Vambraces β Arms Blast Charm III Level 3 F Ajarakan Helm α Head Light Eater's Charm III Level 3","Ajarakan Coil α Waist Ajarakan Coil β Waist Ajarakan Greaves α Legs Ajarakan Greaves β Legs Ajarakan Helm α Head Ajarakan Helm β Head Ajarakan Mail α Chest Ajarakan Mail β Chest Ajarakan Vambraces α Arms Ajarakan Vambraces β Arms Blast Charm III Level 3","","","Rarity 6","99","1,300 z","13,000 z"
"","Mimiphyta Ticket","A ticket depicting the ecology of Mimiphyta. Give it to the Smithy…","","Mimiphyta Tickets can be obtained as a reward for completing…","","","Mimiphyta α Head","Mimiphyta α Head","","","Rarity 6","99","350 z","3,500 z"
"","Expedition Headgear Ticket","A ticket inscribed with the emblem of the expedition. Give it…","","Grab Monster Hunter Wilds EXCLUSIVE new gear before…","","","Expedition Headgear α Head","Expedition Headgear α Head","","","Rarity 6","99","350 z","3,500 z"
"","Doshaguma Hide","A Doshaguma hide. The numerous scars on its body are proof of…","","","","","Dosha Faithbreaker II Light Bowgun Dosha Farsounder II Hunting Horn Dosha Fastflayers II Dual Blades Dosha Fatecleaver II Long Sword Dosha Fearbringer II Bow Dosha Fellslayer II Great Sword Dosha Fierceborer II Lance Dosha Fleshhacker II Switch Axe Doshaguma Braces Arms Doshaguma Helm Head Extension Charm II Level 2 F Doshaguma Mail Body Guard Charm I Level 1 Speed Heal Charm I Level 1","","","","Rarity 4","99","570 z","5,700 z"
"","Doshaguma Fur","Doshaguma fur. It makes a durable crafting material thanks to…","","","","","Dosha Faithbreaker I Light Bowgun Dosha Farsounder I Hunting Horn Dosha Fastflayers I Dual Blades Dosha Fatecleaver I Long Sword Dosha Fearbringer I Bow Dosha Fellslayer I Great Sword Dosha Fierceborer I Lance Dosha Fleshhacker I Switch Axe Doshaguma Greaves Legs Doshaguma Helm Head Doshaguma Mail Chest F Doshaguma Helm Head Glutton's Charm I Level 1 Intimidator Charm I Level 1","","","","Rarity 4","99","380 z","3,800 z"
"","Doshaguma Claw","A Doshaguma claw. Sharp as it is tough, it can cut through muscled…","","","","","Defense Charm I Level 1 Dosha Faithbreaker I Light Bowgun Dosha Farsounder I Hunting Horn Dosha Fastflayers I Dual Blades Dosha Fatecleaver I Long Sword Dosha Fearbringer I Bow Dosha Fellslayer I Great Sword Dosha Fierceborer I Lance Dosha Fleshhacker I Switch Axe Doshaguma Coil Waist Doshaguma Greaves Legs Doshaguma Mail Chest Evasion Charm I Level 1 Intimidator Charm I Level 1 Light Eater's Charm I Level 1","","","","Rarity 4","99","684 z","6,840 z"
"","Doshaguma Fang","A Doshaguma fang. They grow large and sharp so they can pierce…","","","","","Dosha Faithbreaker I Light Bowgun Dosha Farsounder I Hunting Horn Dosha Fastflayers I Dual Blades Dosha Fatecleaver I Long Sword Dosha Fearbringer I Bow Dosha Fellslayer I Great Sword Dosha Fierceborer I Lance Dosha Fleshhacker I Switch Axe Doshaguma Braces Arms Doshaguma Coil Waist Doshaguma Helm Head F Doshaguma Knuckle Weapons Glutton's Charm I Level 1 Guard Charm I Level 1 Speed Heal Charm I Level 1","","","","Rarity 4","99","836 z","8,360 z"
"","Beast Gem","A valuable jewel formed from coagulated juices inside a monster.…","","","","","A Aerial Glaive Insect Glaive B Blango Vambraces α Arms Blango Vambraces β Arms Bleed Charm III Level 3 Bombardier Charm III Level 3 Bone Slasher Great Sword Bone Smasher Switch Axe Breaker Charm I Level 1 C Chain Charm I Level 1 Chief Kukri Sword and Shield Combat Conga Light Bowgun Counter Charm II Level 2 D Damascus Vambraces α Arms Doshaguma Coil α Waist Doshaguma Coil β Waist F Faithbreaker Leibolkule Light Bowgun Farsounder Honga Hunting Horn Fastflayers Jambastra Dual Blades Fatecleaver Kimkemush Long Sword Fearbringer Callistox Bow Fellslayer Dangeom Great Sword Fierceborer Dubhanith Lance Fitness Charm III Level 3 Fleshhacker Yaogahaac Switch Axe Funky Maracas Dual Blades G G. Doshaguma Braces α Arms G. Doshaguma Braces β Arms Gigasbreaker Urbolkule Light Bowgun Gloomborer Urshanith Lance Gorehacker Urgahaac Switch Axe Gravecleaver Urkemush Long Sword Great Bone Gunlance Gunlance Griefbringer Urstox Bow Grimslayer Urgeom Great Sword Grudgesounder Urga Hunting Horn Guard Charm III Level 3 Guardflayers Urbastra Dual Blades Gundava Vandal Switch Axe H Hard Bone Lance Lance Hard Bone Shotel Long Sword Hard Bone Strongarm Charge Blade Hardened Bone Horn Hunting Horn Heavy Bone Bludgeon Hammer Heavy Shooter Heavy Bowgun Hunter's Stoutbow Bow M Mushroom Charm II Level 2 P Phoenix Charm I Level 1 Power Rifle Light Bowgun S Shrouded Aghaturi Hammer Shrouded Katalo Sword and Shield Shrouded Kutharja Charge Blade Shrouded Laphoka Insect Glaive Shrouded Muktana Heavy Bowgun U Unscathed Charm I Level 1 W War Conga Hunting Horn Wild Hatchets Dual Blades Wild Stinger Heavy Bowgun Wildwood Kalifa Bow","","","","Rarity 7","10","4,000 z","40,000 z"
"","Iron Ore","Ore that can be smelted into a multi-purpose metal.","","","","A Sharp Sort Optional Quests A Stage of Rose and Thorn Assignments Balahara of the Sandsea Assignments Buggin' in the Scarlet Forest Optional Quests Drive Off the Congalala! Assignments Every Rose... Optional Quests Fire Starter Optional Quests Forest Outlaw Optional Quests Hot on Their Tails Assignments Pinnacle of the Pack Assignments Sand Sea Surges Optional Quests The Desert is Demanding Optional Quests Tussle in Pink Optional Quests","Alloy Helm Head Alloy Mail Chest Alloy Vambraces Arms Bleed Charm I Level 1 Extension Charm I Level 1 Fire Charm I Level 1 Guard Charm I Level 1 Hope Axe II Switch Axe Hope Blade II Great Sword Hope Cannon II Heavy Bowgun Hope Coil α Waist Hope Daggers II Dual Blades Hope Edge II Long Sword Hope Glaive II Insect Glaive Hope Gunlance II Gunlance Hope Hammer II Hammer Hope Horn II Hunting Horn Hope Lance II Lance Hope Mask α Head Hope Rifle II Light Bowgun Hope Strongarm II Charge Blade Hope Sword II Sword and Shield Impact Charm I Level 1 Intimidator Charm I Level 1 Quematrice Helm Head","","","","Rarity 4","10","60 z","600 z"
"","Machalite Ore","Ore mined from mineral veins. Refined Machalite Steel is far…","","","","A Feast in the Deep Assignments A Fuse Ignited Assignments A Hunter in the Void Assignments A Merciless Glare Assignments Ajarakan Ablaze Assignments Buggin' in the Cliffs Optional Quests Consumer of Void Optional Quests Creeping Flames Optional Quests Dance of Shadows Optional Quests Fight or Flight Assignments Fleet Flight Optional Quests March of the Kranodath Optional Quests Oilwell Basin Blast Optional Quests Scorching Simian Optional Quests Spread Those Wings Optional Quests Sultan of the Sand Optional Quests The Black Flame Quietly Manifests Assignments The Quiet, Cunning Assassin Assignments The Rimechain Trial Assignments Veiled by the Tide Optional Quests","Alloy Coil Waist Alloy Greaves Legs Alloy Helm Head Alloy Mail Chest Alloy Vambraces Arms Buster Sword I Great Sword Chain Blitz I Light Bowgun Chrome Drill I Lance Conga Vambraces Arms Defense Charm I Level 1 Dragon Perforator I Bow Dual Hatchets I Dual Blades Felyne Alloy Helm Head Felyne Alloy Mail Body Felyne Iron Sword Weapons Friendship Charm II Level 2 Geology Charm II Level 2 Hope Axe III Switch Axe Hope Blade III Great Sword Hope Cannon III Heavy Bowgun Hope Daggers III Dual Blades Hope Edge III Long Sword Hope Glaive III Insect Glaive Hope Gunlance III Gunlance Hope Hammer III Hammer Hope Horn III Hunting Horn Hope Lance III Lance Hope Rifle III Light Bowgun Hope Strongarm III Charge Blade Hope Sword III Sword and Shield Hyperguard I Charge Blade Impact Charm II Level 2 Ingot Helm Head Ingot Vambraces Arms Iron Accelerator I Switch Axe Iron Assault I Heavy Bowgun Iron Beater I Sword and Shield Iron Gale I Insect Glaive Iron Hammer I Hammer Iron Katana I Long Sword Leather Gloves α Arms Leather Mail α Chest Leather Pants α Legs Maintenance Charm I Level 1 Metal Bagpipe I Hunting Horn Piragill Greaves Legs Thunder Charm II Level 2 Triple Bayonet I Gunlance","","","","Rarity 4","10","160 z","1,600 z"
