"Icon","Title","Description","Description (Lv 1)","Description (Lv 2)","Description (Lv 3)","Description (Lv 4)","Description (Lv 5)","Description (Lv 6)","Description (Lv 7)","Other Info","Obtained From","Max Level","Ingredients"
"","Adaptability","","Negates the effects of heat and cold.","Negates environmental damage.","","","","","","","Adapt Jewel [1] Armor Decorations Artian Mail α Chest Artian α Armor Sets Dahaad Shardbraces α Arms Dahaad Shardbraces β Arms Dahaad Shardmail α Chest Dahaad Shardmail β Chest Dahaad α Armor Sets Dahaad β Armor Sets","2",""
"","Adrenaline Rush","","Attack +10 while active.","Attack +15 while active.","Attack +20 while active.","Attack +25 while active.","Attack +30 while active.","","","","Counterattack Charm I Level 1 Counterattack Charm II Level 2 Counterattack Jewel [3] Armor Decorations Rathalos Coil α Waist Rathalos Coil β Waist Rathalos Greaves α Legs Rathalos Mail α Chest Rathalos Mail β Chest Rathalos α Armor Sets Rathalos β Armor Sets Xu Wu Greaves α Legs Xu Wu Greaves β Legs Xu Wu Helm α Head Xu Wu Helm β Head Xu Wu α Armor Sets Xu Wu β Armor Sets","5",""
"","Agitator","","Attack +4 and affinity +3% while active.","Attack +8 and affinity +5% while active.","Attack +12 and affinity +7% while active.","Attack +16 and affinity +10% while active.","Attack +20 and affinity +15% while active.","","","","Blango Coil α Waist Blango Coil β Waist Blango Greaves α Legs Blango Greaves β Legs Blango Mail α Chest Blango Mail β Chest Blango α Armor Sets Blango β Armor Sets Challenger Charm I Level 1 Challenger Charm II Level 2 Challenger Jewel [3] Armor Decorations Commission Coil α Waist Commission Greaves α Legs Commission Helm α Head Commission Mail α Chest Commission Vambraces α Arms Commission α Armor Sets Dahaad Shardbraces α Arms Dahaad Shardbraces β Arms Dahaad Shardgreaves α Legs Dahaad Shardgreaves β Legs Dahaad Shardhelm α Head Dahaad Shardhelm β Head Dahaad α Armor Sets Dahaad β Armor Sets G. Fulgur Helm α Head G. Fulgur Helm β Head G. Fulgur Vambraces α Arms Guardian Fulgur α Armor Sets Guardian Fulgur β Armor Sets Kut-Ku Coil α Waist Kut-Ku Coil β Waist Kut-Ku Mail α Chest Kut-Ku Mail β Chest Kut-Ku Vambraces α Arms Kut-Ku α Armor Sets Kut-Ku β Armor Sets","5",""
"","Airborne","","Jumping attack power +10%","","","","","","","","Flight Jewel [2] Weapon Decorations Flight/Attack Jwl [3] Weapon Decorations Flight/Draw Jewel [3] Weapon Decorations Flight/Expert Jewel [3] Weapon Decorations Flight/Handicraft Jwl [3] Weapon Decorations Windbrace Bow I Bow Windbrace Bow II Bow Windbrace Bow III Bow Windbrace Ibami Bow Windclaw Blade I Long Sword Windclaw Blade II Long Sword Windclaw Blade III Long Sword Windclaw Kiribami Long Sword Windpierce Lance I Lance Windpierce Lance II Lance Windpierce Lance III Lance Windpierce Tsukibami Lance Windshear Light I Light Bowgun Windshear Light II Light Bowgun Windshear Light III Light Bowgun Windshear Uchibami Light Bowgun Windsunder Axe I Switch Axe Windsunder Axe II Switch Axe Windsunder Axe III Switch Axe Windsunder Sakibami Switch Axe Windthrash Charger I Charge Blade Windthrash Charger II Charge Blade Windthrash Charger III Charge Blade Windthrash Tamebami Charge Blade","1",""
"","Alluring Pelt","","Increases the attention drawn to you when attacking a monster.…","","","","","","","","Ajarakan Coil β Waist Ajarakan Greaves β Legs Ajarakan Helm β Head Ajarakan Mail β Chest Ajarakan Vambraces β Arms Ajarakan β Armor Sets Arkveld β Armor Sets Arkvulcan Coil β Waist Arkvulcan Greaves β Legs Arkvulcan Helm β Head Arkvulcan Mail β Chest Arkvulcan Vambraces β Arms Blango Coil β Waist Blango Greaves β Legs Blango Helm β Head Blango Mail β Chest Blango Vambraces β Arms Blango β Armor Sets Conga Coil β Waist Conga Greaves β Legs Conga Helm β Head Conga Mail β Chest Conga Vambraces β Arms Conga β Armor Sets Doshaguma Braces β Arms Doshaguma Coil β Waist Doshaguma Greaves β Legs Doshaguma Helm β Head Doshaguma Mail β Chest Doshaguma β Armor Sets","1",""
"","Ambush","","Attack +5% while active.","Attack +10% while active.","Attack +15% while active.","","","","","","Ambush Jewel [2] Armor Decorations Death Stench Brain α Head Death Stench Grip α Arms Death Stench Muscle α Chest Death Stench α Armor Sets Descent Charm I Level 1 Descent Charm II Level 2 Mimiphyta α Armor Sets Mimiphyta α Head Nerscylla Armor Sets Nerscylla Greaves Legs Nerscylla Greaves α Legs Nerscylla Helm Head Nerscylla Mail α Chest Nerscylla Mail β Chest Nerscylla Vambraces Arms Nerscylla Vambraces α Arms Nerscylla Vambraces β Arms Nerscylla α Armor Sets Nerscylla β Armor Sets Vespoid Helm α Head Vespoid Vambraces α Arms Vespoid α Armor Sets Xu Wu Greaves α Legs Xu Wu Helm α Head Xu Wu Mail α Chest Xu Wu α Armor Sets","3",""
"","Antivirus","","Slightly increases recovery rate after contracting the Frenzy.…","Increases recovery rate after contracting the Frenzy. Affinity…","Greatly increases recovery rate after contracting the Frenzy.…","","","","","","Gore Coil α Waist Gore Greaves α Legs Gore Greaves β Legs Gore Mail α Chest Gore α Armor Sets Gore β Armor Sets Sane Jewel [1] Armor Decorations Sanity Charm I Level 1 Sanity Charm II Level 2 Sanity Charm III Level 3","3",""
"","Aquatic/Oilsilt Mobility","","Negates the effects of muddy streams, and prevents you from being…","Also negates the effects of waves.","","","","","","","Duna Coil Waist Duna Wildcoil α Waist Duna Wildmail α Chest High Metal Coil α Waist High Metal α Armor Sets Mirewalker Jewel [1] Armor Decorations Piragill Greaves α Legs Piragill Greaves β Legs Piragill α Armor Sets Piragill β Armor Sets Uth Duna Armor Sets Uth Duna α Armor Sets","2",""
"","Arkveld's Hunger","","Regenerates a small amount of your health as you continually…","Regenerates your health as you continually attack a monster.…","","","","","","","Arkveld α Armor Sets Arkveld β Armor Sets Arkvulcan Coil α Waist Arkvulcan Coil β Waist Arkvulcan Greaves α Legs Arkvulcan Greaves β Legs Arkvulcan Helm α Head Arkvulcan Helm β Head Arkvulcan Mail α Chest Arkvulcan Mail β Chest Arkvulcan Vambraces α Arms Arkvulcan Vambraces β Arms","2",""
"","Artillery","","Moderately increases each attack and Wyvern’s Fire firing speed.…","Increases each attack and Wyvern’s Fire firing speed. Shelling…","Greatly increases each attack and Wyvern’s Fire firing speed.…","","","","","","Ajara Shellgun I Light Bowgun Ajara Shellgun II Light Bowgun Ajara-Angaja Light Bowgun Artillery Jewel II [2] Weapon Decorations Artillery Jewel III [3] Weapon Decorations Artillery Jewel [1] Weapon Decorations Chata Strongarm II Charge Blade Chata Strongarm III Charge Blade Chata Strongarm IV Charge Blade Shrouded Kutharja Charge Blade","3",""
