"Title","MaxLevel","Lv1","Lv2","Lv3","Lv4","Lv5","Lv6","Lv7","ObtainedFrom"
"Adaptability","2","Negates the effects of heat and cold.","Negates environmental damage.","","","","","","Adapt Jewel [1] Artian Mail α Artian α Dahaad Shardbraces α Dahaad Shardbraces β Dahaad Shardmail α Dahaad Shardmail β Dahaad α Dahaad β"
"Adrenaline Rush","5","Attack +10 while active.","Attack +15 while active.","Attack +20 while active.","Attack +25 while active.","Attack +30 while active.","","","Counterattack Charm I Counterattack Charm II Counterattack Jewel [3] Rathalos Coil α Rathalos Coil β Rathalos Greaves α Rathalos Mail α Rathalos Mail β Rathalos α Rathalos β Xu Wu Greaves α Xu Wu Greaves β Xu Wu Helm α Xu Wu Helm β Xu Wu α Xu Wu β"
"Agitator","5","Attack +4 and affinity +3% while active.","Attack +8 and affinity +5% while active.","Attack +12 and affinity +7% while active.","Attack +16 and affinity +10% while active.","Attack +20 and affinity +15% while active.","","","Blango Coil α Blango Coil β Blango Greaves α Blango Greaves β Blango Mail α Blango Mail β Blango α Blango β Challenger Charm I Challenger Charm II Challenger Jewel [3] Commission Coil α Commission Greaves α Commission Helm α Commission Mail α Commission Vambraces α Commission α Dahaad Shardbraces α Dahaad Shardbraces β Dahaad Shardgreaves α Dahaad Shardgreaves β Dahaad Shardhelm α Dahaad Shardhelm β Dahaad α Dahaad β G. Fulgur Helm α G. Fulgur Helm β G. Fulgur Vambraces α Guardian Fulgur α Guardian Fulgur β Kut-Ku Coil α Kut-Ku Coil β Kut-Ku Mail α Kut-Ku Mail β Kut-Ku Vambraces α Kut-Ku α Kut-Ku β"
"Airborne","1","Jumping attack power +10%","","","","","","","Flight Jewel [2] Flight/Attack Jwl [3] Flight/Draw Jewel [3] Flight/Expert Jewel [3] Flight/Handicraft Jwl [3] Windbrace Bow I Bow Windbrace Bow II Bow Windbrace Bow III Bow Windbrace Ibami Bow Windclaw Blade I Long Sword Windclaw Blade II Long Sword Windclaw Blade III Long Sword Windclaw Kiribami Long Sword Windpierce Lance I Lance Windpierce Lance II Lance Windpierce Lance III Lance Windpierce Tsukibami Lance Windshear Light I Light Bowgun Windshear Light II Light Bowgun Windshear Light III Light Bowgun Windshear Uchibami Light Bowgun Windsunder Axe I Switch Axe Windsunder Axe II Switch Axe Windsunder Axe III Switch Axe Windsunder Sakibami Switch Axe Windthrash Charger I Charge Blade Windthrash Charger II Charge Blade Windthrash Charger III Charge Blade Windthrash Tamebami Charge Blade"
"Alluring Pelt","1","Increases the attention drawn to you when attacking a monster.…","","","","","","","Ajarakan Coil β Ajarakan Greaves β Ajarakan Helm β Ajarakan Mail β Ajarakan Vambraces β Ajarakan β Arkveld β Arkvulcan Coil β Arkvulcan Greaves β Arkvulcan Helm β Arkvulcan Mail β Arkvulcan Vambraces β Blango Coil β Blango Greaves β Blango Helm β Blango Mail β Blango Vambraces β Blango β Conga Coil β Conga Greaves β Conga Helm β Conga Mail β Conga Vambraces β Conga β Doshaguma Braces β Doshaguma Coil β Doshaguma Greaves β Doshaguma Helm β Doshaguma Mail β Doshaguma β"
"Ambush","3","Attack +5% while active.","Attack +10% while active.","Attack +15% while active.","","","","","Ambush Jewel [2] Death Stench Brain α Death Stench Grip α Death Stench Muscle α Death Stench α Descent Charm I Descent Charm II Mimiphyta α Mimiphyta α Nerscylla Nerscylla Greaves Nerscylla Greaves α Nerscylla Helm Nerscylla Mail α Nerscylla Mail β Nerscylla Vambraces Nerscylla Vambraces α Nerscylla Vambraces β Nerscylla α Nerscylla β Vespoid Helm α Vespoid Vambraces α Vespoid α Xu Wu Greaves α Xu Wu Helm α Xu Wu Mail α Xu Wu α"
"Antivirus","3","Slightly increases recovery rate after contracting the Frenzy.…","Increases recovery rate after contracting the Frenzy. Affinity…","Greatly increases recovery rate after contracting the Frenzy.…","","","","","Gore Coil α Gore Greaves α Gore Greaves β Gore Mail α Gore α Gore β Sane Jewel [1] Sanity Charm I Sanity Charm II Sanity Charm III"
"Aquatic/Oilsilt Mobility","2","Negates the effects of muddy streams, and prevents you from being…","Also negates the effects of waves.","","","","","","Duna Coil Duna Wildcoil α Duna Wildmail α High Metal Coil α High Metal α Mirewalker Jewel [1] Piragill Greaves α Piragill Greaves β Piragill α Piragill β Uth Duna Uth Duna α"
"Arkveld's Hunger","2","Regenerates a small amount of your health as you continually…","Regenerates your health as you continually attack a monster.…","","","","","","Arkveld α Arkveld β Arkvulcan Coil α Arkvulcan Coil β Arkvulcan Greaves α Arkvulcan Greaves β Arkvulcan Helm α Arkvulcan Helm β Arkvulcan Mail α Arkvulcan Mail β Arkvulcan Vambraces α Arkvulcan Vambraces β"
"Artillery","3","Moderately increases each attack and Wyvern’s Fire firing speed.…","Increases each attack and Wyvern’s Fire firing speed. Shelling…","Greatly increases each attack and Wyvern’s Fire firing speed.…","","","","","Ajara Shellgun I Light Bowgun Ajara Shellgun II Light Bowgun Ajara-Angaja Light Bowgun Artillery Jewel II [2] Artillery Jewel III [3] Artillery Jewel [1] Chata Strongarm II Charge Blade Chata Strongarm III Charge Blade Chata Strongarm IV Charge Blade Shrouded Kutharja Charge Blade"
