"Title","Skills","Rarity","Price","HR","ForgingMaterials","UnlockRequirements"
"Blast Charm I","Blast Resistance","Rarity 3","500 z","3 HR","2× Quematrice Hide 1× Quematrice Igniter 1× Wingdrake Hide",""
"Blast Charm II","Blast Resistance","Rarity 4","1,500 z","5 HR","2× Ajarakan Scale 1× Ajarakan Ridge 2× Herbivore Shell 1× Firestone",""
"Blast Charm III","Blast Resistance","Rarity 5","3,000 z","21 HR","5× Ajarakan Scale+ 3× Rathian Scale+ 3× Wingdrake Hide+ 1× Firecell Stone","Ajarakan Scale+"
"Bleed Charm I","Bleeding Resistance","Rarity 3","500 z","5 HR","2× Guardian Ebony Sinew 1× Guardian Ebony Scale 1× Talioth Scale 2× Iron Ore","Guardian Ebony Odogaron"
"Bleed Charm II","Bleeding Resistance","Rarity 5","3,000 z","16 HR","6× Hirabami Hide+ 4× Hirabami Webbing+ 5× Blango Pelt+ 4× Carbalite Ore","Hirabami Hide+"
"Bleed Charm III","Bleeding Resistance","Rarity 6","6,000 z","21 HR","6× Guardian Ebony Scale+ 4× Guardian Ebony Sinew+ 5× Guardian Seikret Feather+ 1× Beast Gem","Guardian Ebony Scale+"
"Blessing Charm I","Divine Blessing","Rarity 3","500 z","","2× Chatacabra Scale 1× Quematrice Scale 1× Lala Barina Mucus 2× Earth Crystal","A Feast in the Deep Assignments"
"Blessing Charm II","Divine Blessing","Rarity 4","1,500 z","5 HR","1× Hirabami Hide 1× Hirabami Webbing 2× Uth Duna Tentacle 2× Dragonite Ore",""
"Blessing Charm III","Divine Blessing","Rarity 5","3,000 z","16 HR","4× Hirabami Webbing+ 3× Rathian Spike+ 1× Novacrystal 1× Wyvern Gem","Hirabami Scale+"
"Blight Charm I","Blight Resistance","Rarity 6","6,000 z","21 HR","4× Blangonga Pelt+ 4× Guardian Fulgur Pelt+ 2× Balahara Scale+ 2× Hirabami Scale+","Blangonga"
"Blight Charm II","Blight Resistance","Rarity 7","9,000 z","41 HR","6× Arkveld Scale+ 4× White Arkveld Pelt 1× Novacrystal 1× Wyvern Gem","Arkveld"
"Bombardier Charm I","Bombardier","Rarity 4","1,500 z","5 HR","2× Ajarakan Shell 1× Ajarakan Jewel 1× Kranodath Skull 1× Firestone",""
"","","","","","",""
"Bombardier Charm II","Bombardier","Rarity 5","3,000 z","9 HR","3× Quematrice Scale+ 2× Quematrice Igniter+ 4× Kranodath Skull+ 1× Firecell Stone","Quematrice Scale+"
"Bombardier Charm III","Bombardier","Rarity 6","6,000 z","21 HR","4× Ajarakan Carapace 2× Ajarakan Jewel+ 2× Inferno Sac 1× Beast Gem","Ajarakan Carapace"
"Botany Charm I","Botanist","Rarity 2","500 z","","2× Congalala Claw 1× Congalala Fang 1× Conga Pelt","A Feast in the Deep Assignments"
"Botany Charm II","Botanist","Rarity 4","1,500 z","5 HR","2× Nerscylla Claw 1× Congalala Pelt 2× Herbivore Shell 2× Brute Bone",""
"Botany Charm III","Botanist","Rarity 4","1,500 z","7 HR","2× Guardian Rathalos Scale 2× Nerscylla Spike 2× Comaqchi Shell 2× Charred Oilbone",""
"Botany Charm IV","Botanist","Rarity 5","3,000 z","16 HR","4× Nerscylla Spike+ 4× Congalala Fang+ 5× Conga Pelt+ 1× Dragonbone Relic","Nerscylla Carapace"
"Breaker Charm I","Partbreaker","Rarity 5","3,000 z","16 HR","3× Balahara Skull+ 4× Chatacabra Carapace 4× Piragill Fin+ 1× Beast Gem","Balahara Scale+"
"Breaker Charm II","Partbreaker","Rarity 7","9,000 z","31 HR","3× Rey Dau Bolthorn 4× Ajarakan Jewel+ 5× Kranodath Skull+ 1× Ajarakan Medulla","Rey Dau Scale+"
"Chain Charm I","Burst","Rarity 5","3,000 z","16 HR","3× Nerscylla Shear 4× Nerscylla Claw+ 6× Congalala Claw+ 1× Beast Gem","Nerscylla Carapace"
"Chain Charm II","Burst","Rarity 7","9,000 z","","5× Hunter Symbol III 3× Hunter Symbol II 1× Guardian Ebony Gem 1× Nu Udra Flamegem","Hunter Symbol III"
"Chainblade Charm I","Flayer","Rarity 4","1,500 z","","2× Guardian Blood 1× Guardian Scale 1× Guardian Pelt 1× Guardian Seikret Feather","Guardian Arkveld"
"Chainblade Charm II","Flayer","Rarity 7","9,000 z","","5× Hunter Symbol III 5× Arkveld Armorplate 3× Arkveld Calloushell 1× Arkveld Gem","Hunter Symbol III"
"","","","","","",""
